transaction_id,timestamp,sender,receiver,amount,type,merchant_category,location,device_used,is_fraud,fraud_type,time_since_last_transaction,spending_deviation_score,velocity_score,geo_anomaly_score,payment_channel,ip_address,device_hash,hour_of_day,day_of_week
T1185148,2023-01-02T16:10:25.012913,ACC563155,ACC983581,328.07,withdrawal,grocery,London,pos,False,,-5290.7363450708335,-0.33,18,0.17,card,180.33.34.125,D2336468,16.0,0.0
T3320749,2023-06-09T09:39:14.146456,ACC185007,ACC764700,18.19,transfer,travel,Singapore,pos,False,,-4135.335990833333,-1.35,12,0.15,ACH,196.59.42.36,D9652977,9.0,4.0
T3548197,2023-04-09T06:41:53.011608,ACC656521,ACC530011,101.23,payment,restaurant,Singapore,mobile,False,,-4319.565792867777,-0.41,7,0.46,ACH,1.175.40.60,D1761149,6.0,6.0
T1149034,2023-02-16T12:07:53.222889,ACC192119,ACC159301,26.79,transfer,utilities,Dubai,atm,False,,-6630.437487105555,0.27,20,0.64,UPI,226.32.114.177,D4620429,12.0,3.0
T4783228,2023-03-27T18:50:14.363651,ACC524229,ACC378817,347.2,withdrawal,entertainment,London,web,False,,-4740.449233915834,0.29,4,0.4,card,111.215.155.229,D7063759,18.0,0.0
T3234663,2023-05-17T14:31:02.323954,ACC478468,ACC494333,1105.19,deposit,online,Dubai,mobile,False,,-3911.016042159167,-0.33,20,0.24,UPI,116.89.164.156,D9057844,14.0,2.0
T2362298,2023-12-08T04:18:02.465429,ACC209360,ACC964929,827.14,deposit,grocery,Berlin,atm,False,,5121.666256499167,1.55,10,0.89,card,24.102.169.250,D5105084,4.0,4.0
T3184680,2023-07-03T03:08:05.264809,ACC234442,ACC632680,11.5,transfer,entertainment,London,mobile,True,card_not_present,2080.9914682333333,-1.22,8,0.8,card,138.111.192.39,D4239564,3.0,0.0
T3036778,2023-05-29T10:36:39.440861,ACC674676,ACC337994,684.84,withdrawal,entertainment,Berlin,atm,False,,925.3353360291666,0.62,19,0.48,ACH,37.163.163.216,D1659608,10.0,0.0
T2123633,2023-05-03T14:20:16.078501,ACC938689,ACC337119,74.46,payment,grocery,Singapore,mobile,False,,-5696.582878078611,-2.4,4,0.91,wire_transfer,23.160.155.206,D1424744,14.0,2.0
T2916496,2023-07-30T23:28:46.839856,ACC564500,ACC934894,11.33,transfer,utilities,New York,pos,False,,4598.199017295,-0.03,9,0.35,wire_transfer,137.249.49.137,D8791399,23.0,6.0
T744864,2023-10-25T21:07:20.289556,ACC394729,ACC610543,901.1,deposit,grocery,Tokyo,mobile,False,,,-0.36,7,0.01,ACH,123.84.96.253,D7611514,21.0,2.0
T4560779,2023-10-20T03:50:49.343591,ACC226989,ACC116638,106.86,payment,entertainment,London,mobile,False,,5219.6530995280555,-0.08,9,0.17,ACH,185.77.112.64,D2184184,3.0,4.0
T2960155,2023-07-24T20:15:46.089226,ACC273673,ACC347159,50.03,payment,other,London,web,False,,3389.5910796822222,-1.87,10,0.75,wire_transfer,63.68.178.248,D7278806,20.0,0.0
T3325330,2023-06-11T15:08:35.463022,ACC589762,ACC130430,318.6,withdrawal,travel,Toronto,mobile,False,,2638.6366620580557,0.17,17,0.07,card,205.169.172.127,D6376316,15.0,6.0
T2120818,2023-09-02T05:33:21.903943,ACC719220,ACC903871,591.24,withdrawal,grocery,Tokyo,pos,False,,4506.646724064167,-0.63,1,0.95,card,40.12.137.232,D8362416,5.0,5.0
T3878469,2023-10-26T05:36:53.042061,ACC731712,ACC573636,251.58,withdrawal,grocery,London,mobile,False,,5759.5288387694445,-0.01,16,0.81,ACH,80.194.193.115,D5676409,5.0,3.0
T3293954,2023-12-13T09:15:26.866259,ACC942479,ACC933209,1237.58,deposit,restaurant,Sydney,atm,False,,627.8055336286111,1.21,1,0.83,UPI,102.97.208.92,D1468485,9.0,2.0
T1918062,2023-12-09T00:13:11.746514,ACC387196,ACC934789,1052.78,deposit,utilities,New York,web,False,,-388.4371822691666,-0.89,3,0.78,UPI,50.131.95.254,D9204879,0.0,5.0
T127623,2023-08-24T07:46:37.616632,ACC575431,ACC175834,805.15,deposit,grocery,Dubai,web,False,,19.124322013333337,-1.13,1,0.49,card,21.179.123.228,D9281504,7.0,3.0
T2093154,2023-04-05T21:52:14.219176,ACC450292,ACC685495,39.87,withdrawal,restaurant,New York,mobile,False,,1951.295040783611,-1.94,18,0.09,card,244.111.217.126,D7736492,21.0,2.0
T2374414,2023-04-12T20:39:38.947397,ACC636807,ACC365772,0.54,payment,grocery,New York,pos,False,,-3614.399818588889,-0.5,20,0.06,card,239.178.215.30,D5609123,20.0,2.0
T543763,2023-04-07T01:55:08.421046,ACC765407,ACC236913,11.59,transfer,retail,Singapore,mobile,False,,,1.39,13,0.02,UPI,126.213.244.41,D1839660,1.0,4.0
T3414704,2023-07-16T13:07:20.964412,ACC743010,ACC154463,1017.97,deposit,other,Singapore,web,False,,506.1734893563889,0.32,14,0.71,wire_transfer,158.109.134.136,D7929953,13.0,6.0
T4719064,2023-08-07T18:14:28.358149,ACC512333,ACC171808,22.28,transfer,utilities,New York,mobile,False,,-2848.341330239722,-0.46,2,0.62,wire_transfer,232.67.198.126,D5488781,18.0,0.0
T4961916,2023-03-25T22:07:28.877509,ACC114072,ACC215524,93.31,payment,travel,Berlin,mobile,False,,-3012.4308422722224,-0.18,11,0.75,card,81.70.123.47,D9586991,22.0,5.0
T1027176,2023-11-24T04:39:42.082435,ACC649114,ACC274701,242.41,payment,retail,Toronto,web,False,,528.0331355544445,-0.23,5,0.36,ACH,75.222.216.60,D5734532,4.0,4.0
T3999995,2023-12-14T09:58:08.176991,ACC366530,ACC350544,36.59,transfer,entertainment,New York,atm,False,,475.4039817969445,-0.66,2,0.66,ACH,9.168.210.13,D1331395,9.0,3.0
T2735652,2023-11-03T03:54:21.138079,ACC599981,ACC418387,1032.83,deposit,grocery,Berlin,pos,False,,520.3588289466667,0.18,14,0.44,wire_transfer,126.107.68.118,D4028933,3.0,4.0
T3187728,2023-04-16T01:37:46.761032,ACC915725,ACC877269,23.27,transfer,grocery,New York,mobile,False,,-2919.785823149722,-1.69,2,0.07,card,27.59.165.202,D7312642,1.0,6.0
T4268062,2023-06-15T15:19:50.176619,ACC870842,ACC195969,42.96,withdrawal,entertainment,Sydney,pos,False,,-4641.4398679636115,1.29,16,0.67,wire_transfer,79.51.194.52,D2608851,15.0,3.0
T1555761,2023-04-21T21:48:19.217741,ACC776896,ACC824420,348.53,withdrawal,utilities,Sydney,web,False,,-5648.719321938888,-1.12,19,0.98,wire_transfer,129.55.137.0,D8327981,21.0,4.0
T3605718,2023-03-24T13:30:49.940447,ACC326069,ACC957855,19.99,transfer,travel,Singapore,mobile,False,,-2171.394677381389,-0.81,20,0.94,UPI,39.23.109.113,D8732563,13.0,4.0
T881114,2023-03-15T15:28:04.670636,ACC683121,ACC405843,27.54,transfer,utilities,New York,pos,False,,,0.08,10,0.65,wire_transfer,127.112.24.73,D5748006,15.0,2.0
T1404419,2023-09-27T09:57:08.787729,ACC884697,ACC774219,14.57,transfer,other,Singapore,pos,False,,,2.21,6,0.5,ACH,172.183.94.163,D7449035,9.0,2.0
T1355211,2023-05-03T01:49:49.770697,ACC108700,ACC962233,0.01,deposit,online,Toronto,pos,False,,-5236.704751979445,-2.41,20,0.32,UPI,148.224.230.254,D7444315,1.0,2.0
T1084297,2023-10-19T15:08:56.416897,ACC769795,ACC551496,6.24,transfer,travel,Tokyo,web,False,,,-1.07,5,0.58,UPI,20.169.102.189,D9330655,15.0,3.0
T232065,2023-12-09T19:24:21.612132,ACC111513,ACC319613,62.25,payment,utilities,Toronto,atm,False,,,-0.29,20,0.32,wire_transfer,41.239.252.245,D4383052,19.0,5.0
T1232734,2023-10-19T05:25:01.929733,ACC162054,ACC782232,29.21,transfer,online,Dubai,atm,False,,5809.407512347778,1.7,16,0.92,ACH,242.224.235.10,D4158604,5.0,3.0
T2909186,2023-03-14T23:48:39.348335,ACC636803,ACC395844,18.96,transfer,grocery,Sydney,web,False,,-2525.757878679722,0.5,6,0.87,wire_transfer,35.28.153.76,D1151842,23.0,1.0
T2262145,2023-02-17T08:06:26.434067,ACC838494,ACC561944,56.59,payment,entertainment,Toronto,web,False,,-1770.4563021441666,-0.33,5,0.03,UPI,147.125.112.225,D4217420,8.0,4.0
T440680,2023-05-12T08:00:10.163618,ACC845465,ACC773733,9.69,transfer,retail,Toronto,mobile,False,,,1.6,5,0.42,card,85.235.98.154,D5170519,8.0,4.0
T354477,2023-10-27T15:48:16.797323,ACC391351,ACC420199,354.66,withdrawal,online,Toronto,mobile,False,,6213.698634661111,1.07,7,0.05,UPI,113.171.216.3,D9071251,15.0,4.0
T1505762,2023-01-05T03:22:17.583097,ACC503693,ACC691080,757.96,deposit,grocery,Toronto,web,False,,-2644.25206892,1.09,14,0.67,UPI,149.221.82.179,D3880813,3.0,3.0
T1675095,2023-09-16T14:16:52.812349,ACC519562,ACC257687,0.01,withdrawal,retail,Toronto,atm,False,,224.5858500097222,0.56,17,0.98,UPI,110.214.39.199,D4496291,14.0,5.0
T872459,2023-05-23T21:26:29.755795,ACC660650,ACC304299,416.58,payment,retail,New York,atm,False,,628.2594955958333,0.68,19,0.75,ACH,158.100.52.45,D5013677,21.0,1.0
T3788197,2023-03-03T02:04:00.472970,ACC454398,ACC274199,924.0,deposit,online,Toronto,mobile,False,,-7243.664605892501,-1.13,3,0.93,wire_transfer,35.183.201.146,D4793924,2.0,4.0
T3756462,2023-11-01T05:35:55.362199,ACC991244,ACC340603,8.14,transfer,restaurant,Singapore,web,False,,3148.3300865783335,-0.74,17,0.5,card,80.81.117.156,D7237720,5.0,2.0
T3066794,2023-05-27T23:48:14.742910,ACC245557,ACC432842,31.16,transfer,travel,Toronto,pos,True,card_not_present,429.6423442486111,-0.11,5,0.58,wire_transfer,255.104.62.179,D5551468,23.0,5.0
T4101007,2023-09-11T23:44:21.489182,ACC997420,ACC374513,204.36,payment,other,Singapore,web,True,card_not_present,4167.154896095555,1.97,4,0.7,UPI,220.222.124.122,D2001194,23.0,0.0
T2277947,2023-06-03T07:20:54.072644,ACC557653,ACC554314,1342.35,deposit,online,Sydney,pos,False,,-2872.0308275549996,-2.2,7,0.19,UPI,206.32.72.63,D8399417,7.0,5.0
T3280447,2023-02-02T02:48:30.212580,ACC754571,ACC377144,88.98,withdrawal,retail,Singapore,atm,False,,-1126.7503180563888,-0.57,2,0.42,ACH,217.106.30.104,D3405530,2.0,3.0
T2437140,2023-11-22T04:07:28.722306,ACC513669,ACC466345,205.83,payment,travel,Berlin,pos,False,,3022.564183713889,0.29,4,0.48,UPI,72.101.11.27,D4737539,4.0,2.0
T3406853,2023-12-25T18:08:05.857149,ACC184661,ACC558287,23.41,transfer,utilities,New York,web,False,,7604.788250458334,1.29,12,0.84,card,62.63.230.82,D5761165,18.0,0.0
T3873199,2023-10-21T16:53:34.940663,ACC582632,ACC316240,266.78,withdrawal,online,Tokyo,pos,False,,327.4220993475,0.03,16,0.55,wire_transfer,8.131.241.250,D4444951,16.0,5.0
T4750985,2023-05-09T13:45:15.284205,ACC247040,ACC514499,1791.93,deposit,retail,Sydney,atm,False,,-4225.452635991666,-0.06,3,0.23,wire_transfer,111.74.80.164,D9376946,13.0,1.0
T167894,2023-06-12T10:37:29.821532,ACC648610,ACC225415,102.69,withdrawal,utilities,London,mobile,False,,,0.93,4,0.12,ACH,161.195.101.149,D8778973,10.0,0.0
T4951204,2023-08-15T21:31:54.305446,ACC635523,ACC569701,1129.29,deposit,retail,Toronto,pos,False,,2492.7734834616667,-1.46,13,0.3,wire_transfer,150.215.67.53,D6990509,21.0,1.0
T4307270,2023-04-02T17:45:00.322501,ACC108903,ACC344032,23.59,transfer,online,Sydney,atm,False,,-6557.515977544167,-0.99,3,0.62,ACH,165.29.71.160,D3170713,17.0,6.0
T342236,2023-11-16T11:49:33.308950,ACC686282,ACC412123,143.55,deposit,other,New York,web,False,,355.21437594555556,1.04,20,0.07,ACH,70.242.111.42,D9605018,11.0,3.0
T3285765,2023-06-23T04:09:16.390203,ACC976794,ACC866910,17.98,payment,restaurant,Berlin,web,False,,3380.8262802474997,0.72,14,0.98,UPI,34.186.150.49,D4100175,4.0,4.0
T4711393,2023-12-09T11:02:36.928267,ACC403052,ACC468507,216.41,withdrawal,other,Sydney,atm,False,,-284.12434017805555,1.75,2,0.7,card,82.255.114.146,D6056902,11.0,5.0
T506216,2023-05-26T14:58:10.696169,ACC497993,ACC576096,1427.82,deposit,retail,Sydney,web,False,,,0.05,3,0.82,UPI,181.203.108.194,D2323335,14.0,4.0
T681487,2023-03-09T21:02:21.980649,ACC695123,ACC742935,1720.33,deposit,entertainment,Toronto,mobile,False,,-2833.779552202222,0.02,15,0.72,wire_transfer,151.69.208.61,D2721725,21.0,3.0
T1787280,2023-09-08T05:36:05.983271,ACC435526,ACC280355,28.73,payment,entertainment,Singapore,atm,False,,2488.807303047222,-1.5,20,0.37,ACH,92.94.177.139,D6867649,5.0,4.0
T3543263,2023-12-02T11:17:35.902531,ACC365100,ACC361882,16.47,transfer,travel,Dubai,mobile,False,,2206.685276288889,-0.52,11,0.9,card,203.214.72.80,D4069125,11.0,5.0
T627273,2023-12-18T02:26:42.554423,ACC130480,ACC864036,352.87,withdrawal,restaurant,Dubai,atm,False,,5859.691916856945,1.1,1,0.18,card,157.242.247.100,D9019531,2.0,0.0
T972461,2023-01-11T10:38:36.625617,ACC100404,ACC139919,313.47,withdrawal,online,Toronto,mobile,False,,-995.1881074252776,2.43,4,0.94,card,64.38.71.67,D9883631,10.0,2.0
T869818,2023-01-28T01:30:02.982024,ACC293849,ACC500166,46.95,payment,other,New York,pos,False,,-1485.0371068291663,0.11,20,0.4,ACH,153.204.187.157,D1873298,1.0,5.0
T570860,2023-12-23T17:20:32.438719,ACC139360,ACC243124,396.6,payment,entertainment,Berlin,mobile,False,,,-0.85,6,0.28,UPI,234.36.225.141,D5111606,17.0,5.0
T3931609,2023-03-25T14:51:12.057240,ACC427070,ACC698105,802.92,deposit,restaurant,Sydney,atm,False,,-6098.132904817222,-1.37,13,0.0,card,211.17.130.186,D3132413,14.0,5.0
T1914318,2023-11-20T23:51:42.069120,ACC716966,ACC602805,1885.72,deposit,other,Dubai,atm,False,,2197.2455082655556,-0.29,2,0.51,card,117.246.228.93,D5120057,23.0,0.0
T1431631,2023-07-07T13:15:20.464972,ACC161086,ACC211123,296.69,withdrawal,entertainment,London,pos,False,,3056.247628145,-0.97,17,0.27,ACH,253.235.13.73,D7352323,13.0,4.0
T1556412,2023-05-20T02:20:42.635758,ACC303968,ACC112501,776.12,deposit,other,Toronto,mobile,False,,397.0457825444445,0.39,9,0.33,card,80.245.69.217,D9273341,2.0,5.0
T2246308,2023-08-24T02:08:37.434717,ACC757262,ACC243913,1965.05,deposit,online,Sydney,web,False,,4393.681005095833,-0.06,17,0.63,card,38.112.41.106,D8832440,2.0,3.0
T3419485,2023-10-24T10:47:25.984942,ACC312411,ACC501051,1236.12,deposit,travel,Tokyo,pos,False,,2073.1750497127778,-1.01,17,0.11,ACH,230.217.167.247,D3208359,10.0,1.0
T3511210,2023-11-16T08:49:11.508399,ACC729103,ACC282448,457.06,withdrawal,online,London,atm,False,,6913.347453876945,0.14,4,0.16,wire_transfer,197.14.35.186,D1451611,8.0,3.0
T1826067,2023-10-03T20:25:24.788081,ACC198504,ACC280817,149.9,payment,entertainment,Sydney,mobile,False,,4515.917516598889,1.7,6,0.9,wire_transfer,245.183.223.21,D2226558,20.0,1.0
T3114918,2023-08-28T09:05:08.864145,ACC524631,ACC582806,1041.29,deposit,retail,New York,web,False,,-1852.263456175278,-1.18,8,0.68,UPI,252.150.201.155,D4323258,9.0,0.0
T1303656,2023-02-05T21:23:43.407021,ACC358597,ACC154574,34.11,payment,other,Toronto,mobile,False,,-67.53656879750001,0.35,18,0.54,card,100.58.79.240,D5865246,21.0,6.0
T4674776,2023-06-24T16:13:48.449571,ACC770762,ACC106044,15.57,payment,grocery,Sydney,pos,True,card_not_present,-505.3471661105555,-0.25,17,0.67,wire_transfer,94.126.238.144,D9697511,16.0,5.0
T631687,2023-04-30T07:46:24.905196,ACC296044,ACC485793,99.74,withdrawal,retail,Sydney,web,False,,2660.394915839722,0.65,19,0.45,card,48.130.210.62,D1707057,7.0,6.0
T4948253,2023-11-24T04:20:25.959921,ACC908370,ACC720794,25.47,transfer,entertainment,Dubai,atm,False,,2749.6068245272227,-1.26,11,0.29,wire_transfer,1.142.96.174,D6401167,4.0,4.0
T181321,2023-11-22T00:37:15.811379,ACC740778,ACC860979,224.36,withdrawal,restaurant,New York,atm,False,,,-0.62,8,0.89,ACH,62.192.131.36,D4294836,0.0,2.0
T2877784,2023-09-26T07:17:30.132555,ACC382475,ACC535982,13.49,transfer,utilities,Sydney,mobile,True,card_not_present,-538.33312408,-0.5,6,0.96,UPI,153.27.86.129,D4557773,7.0,1.0
T4774546,2023-02-21T04:24:48.383878,ACC879896,ACC991395,1594.37,deposit,other,London,web,False,,-3130.704780946111,-0.87,4,0.76,ACH,246.52.205.115,D8628865,4.0,1.0
T1943478,2023-12-06T08:55:24.135499,ACC495458,ACC702895,542.28,withdrawal,travel,Singapore,mobile,False,,2019.63353656,-1.22,12,0.75,ACH,132.131.27.37,D7096176,8.0,2.0
T1849913,2023-04-03T16:08:14.218691,ACC469827,ACC226193,1144.68,deposit,retail,London,atm,False,,86.36644399166667,1.37,4,0.95,wire_transfer,43.120.2.68,D4599771,16.0,0.0
T1981666,2023-11-04T21:17:21.840971,ACC183038,ACC319438,98.7,payment,travel,Tokyo,atm,True,card_not_present,-421.0293349147222,-0.22,13,0.89,UPI,136.111.131.195,D2910046,21.0,5.0
T2217605,2023-12-04T00:59:59.296728,ACC259765,ACC927508,8.44,transfer,other,Toronto,atm,False,,,1.79,16,0.0,card,22.42.222.199,D9657747,0.0,0.0
T4147030,2023-07-21T23:22:07.796125,ACC509604,ACC609651,12.99,transfer,entertainment,Sydney,mobile,False,,532.6835703552778,0.41,19,0.43,wire_transfer,69.254.144.168,D1251747,23.0,4.0
T4847416,2023-03-09T14:27:19.811571,ACC429409,ACC530634,17.48,transfer,entertainment,Singapore,mobile,False,,93.62277377111111,-1.37,9,0.26,card,46.246.204.163,D3906730,14.0,3.0
T4942896,2023-07-09T05:51:39.891967,ACC493773,ACC449764,11.77,transfer,utilities,Tokyo,mobile,True,card_not_present,-567.2330946591667,1.8,16,0.98,ACH,105.72.174.59,D3461702,5.0,6.0
T2050265,2023-11-21T08:48:37.213996,ACC459528,ACC105197,806.81,deposit,restaurant,Tokyo,atm,False,,6406.252353197499,0.25,10,0.75,ACH,235.155.173.94,D5104866,8.0,1.0
T1997854,2023-04-04T08:52:29.328234,ACC658516,ACC544800,14.49,transfer,other,New York,web,False,,2112.7176123105555,-0.09,6,0.53,card,62.129.217.222,D2364177,8.0,1.0
T1858413,2023-05-18T09:16:01.464419,ACC946647,ACC463351,913.11,deposit,other,Tokyo,pos,False,,-4819.703040643611,1.06,2,0.88,UPI,185.93.103.146,D2912206,9.0,3.0
T662794,2023-08-27T09:13:36.369204,ACC715904,ACC448571,19.71,transfer,grocery,Tokyo,web,False,,3428.909180657222,0.84,10,0.4,UPI,32.60.112.115,D5896785,9.0,6.0
T4870852,2023-11-05T21:41:50.812269,ACC706012,ACC151182,291.85,payment,utilities,Dubai,pos,False,,2498.309031296667,0.01,11,0.09,UPI,61.68.119.212,D3641357,21.0,6.0
T1969380,2023-11-12T14:34:52.469630,ACC473940,ACC947434,3.03,payment,grocery,Sydney,mobile,False,,-48.819681445,-0.64,18,0.05,UPI,90.243.10.155,D3895560,14.0,6.0
T3894938,2023-11-11T02:48:26.116688,ACC108160,ACC827186,912.6,deposit,retail,New York,mobile,False,,547.7718226394445,-0.52,17,0.98,card,247.162.248.8,D5375782,2.0,5.0
T767905,2023-07-10T13:13:02.457999,ACC295499,ACC786858,53.42,payment,travel,Singapore,mobile,False,,2719.6156861916666,0.5,18,0.09,wire_transfer,218.90.73.216,D2590990,13.0,0.0
T1433012,2023-03-10T09:48:15.174641,ACC558579,ACC501692,16.25,transfer,grocery,Dubai,atm,False,,-1022.1366733813888,-0.71,6,0.69,card,147.23.16.116,D4945238,9.0,4.0
T3343583,2023-08-13T03:33:54.094322,ACC410187,ACC446470,403.96,withdrawal,other,Berlin,pos,False,,,-0.67,10,0.33,card,156.214.18.49,D6853296,3.0,6.0
T614593,2023-02-06T10:39:29.596474,ACC321503,ACC268336,30.98,transfer,online,Singapore,atm,False,,75.3499402636111,-0.29,7,0.52,wire_transfer,73.209.28.203,D4553063,10.0,0.0
T4574864,2023-08-14T12:51:32.773109,ACC185559,ACC313592,500.36,deposit,grocery,Toronto,pos,False,,4828.804638996111,-1.61,5,0.79,wire_transfer,56.58.122.127,D1284235,12.0,0.0
T103069,2023-04-21T02:37:52.671743,ACC121889,ACC340099,483.24,withdrawal,online,Toronto,mobile,False,,,-0.35,2,0.88,ACH,71.133.48.49,D5573154,2.0,4.0
T2204350,2023-04-21T00:03:42.752087,ACC125742,ACC683178,281.42,payment,utilities,Sydney,web,False,,-2244.037721010278,2.1,11,0.91,card,171.193.24.116,D9901436,0.0,4.0
T4796777,2023-03-14T09:54:40.962695,ACC793025,ACC400344,366.83,withdrawal,utilities,London,web,False,,1604.4069432322224,1.47,19,0.06,card,81.194.201.237,D9635223,9.0,1.0
T1203167,2023-07-11T06:49:02.352756,ACC284496,ACC944201,224.85,payment,online,New York,web,False,,3812.679922682778,0.74,3,0.96,wire_transfer,155.157.210.205,D8106732,6.0,1.0
T2344024,2023-01-10T17:03:31.537539,ACC925170,ACC716917,15.19,transfer,restaurant,Sydney,atm,False,,,0.38,4,0.63,wire_transfer,249.65.25.64,D8247433,17.0,1.0
T154735,2023-11-06T16:23:25.738723,ACC978066,ACC671198,6.76,transfer,other,London,atm,False,,,0.55,15,0.9,UPI,13.181.242.227,D4428137,16.0,0.0
T3239236,2023-12-24T11:07:29.916081,ACC407554,ACC101401,14.22,transfer,utilities,London,web,False,,7394.342665719167,0.81,10,0.64,wire_transfer,176.207.157.217,D8075758,11.0,6.0
T464165,2023-12-23T21:48:46.248838,ACC254874,ACC630912,170.17,payment,retail,Berlin,web,False,,,0.42,15,0.35,wire_transfer,155.168.231.229,D7780716,21.0,5.0
T3729731,2023-09-17T07:42:51.313909,ACC323658,ACC327171,19.25,transfer,online,London,pos,False,,2095.5937480244443,-2.08,17,0.85,wire_transfer,225.164.237.144,D6929836,7.0,6.0
T705577,2023-07-26T22:26:35.093540,ACC773482,ACC870071,504.56,withdrawal,grocery,Berlin,atm,False,,,-0.56,5,0.15,card,246.213.70.88,D7141362,22.0,2.0
T2300783,2023-02-09T22:03:26.909313,ACC743305,ACC756976,24.22,transfer,travel,Singapore,web,False,,,0.33,1,0.72,ACH,77.133.125.148,D7347061,22.0,3.0
T325264,2023-01-07T23:57:39.782605,ACC421358,ACC611654,83.3,withdrawal,entertainment,Berlin,pos,False,,,0.73,3,0.38,UPI,195.21.227.120,D8714506,23.0,5.0
T2836666,2023-11-29T19:21:47.021714,ACC877303,ACC555549,9.19,transfer,online,New York,web,False,,3831.184707936389,0.36,1,0.05,wire_transfer,241.142.240.161,D4958664,19.0,2.0
T3610470,2023-05-23T04:52:45.068471,ACC606813,ACC558681,207.07,withdrawal,travel,Singapore,atm,False,,2540.6211798152776,0.05,18,0.28,ACH,82.5.213.46,D9744057,4.0,1.0
T1197475,2023-09-05T16:00:21.484312,ACC590502,ACC678047,42.1,transfer,retail,Berlin,web,False,,-480.1052593361111,1.15,20,0.93,card,16.225.193.45,D4075545,16.0,1.0
T2237270,2023-05-13T08:07:23.119618,ACC287550,ACC507340,401.92,withdrawal,restaurant,London,pos,False,,1016.5200966347222,0.41,17,0.39,UPI,232.220.186.82,D4826011,8.0,5.0
T5008322,2023-05-22T07:12:32.374617,ACC326636,ACC450862,729.7,deposit,utilities,Berlin,pos,False,,2783.289057312222,0.1,13,0.5,card,122.41.151.208,D2227839,7.0,0.0
T1819351,2023-07-30T20:04:32.175189,ACC204463,ACC953842,1483.61,deposit,other,Toronto,atm,True,card_not_present,3292.1911369544446,1.6,4,0.64,UPI,30.212.230.70,D9674706,20.0,6.0
T3865357,2023-01-14T17:51:26.228226,ACC180239,ACC312083,175.49,withdrawal,online,Singapore,atm,False,,-1078.2410254938889,0.89,14,0.76,ACH,211.155.50.80,D6550479,17.0,5.0
T4017123,2023-12-29T10:30:51.087543,ACC626136,ACC590020,22.98,payment,entertainment,Singapore,pos,False,,3131.297443281389,-0.76,13,0.26,card,184.243.139.243,D2657017,10.0,4.0
